Book,Chapters,Verses,Words,Author,Genre,OT_NT
3_John,1,14,294,John,Letter,NT
2_John,1,13,298,John,Letter,NT
Philemon,1,25,430,Paul,Letter,NT
Jude,1,25,608,Jude,Letter,NT
Obadiah,1,21,669,Obadiah,Prophecy,OT
Titus,3,46,896,Paul,Letter,NT
2_Thessalonians,3,47,1022,Paul,Letter,NT
Haggai,2,38,1130,Haggai,Prophecy,OT
Nahum,3,47,1284,Nahum,Prophecy,OT
Jonah,4,48,1320,Jonah,Prophecy,OT
Habakkuk,3,56,1475,Habakkuk,Prophecy,OT
2_Peter,3,61,1553,Peter,Letter,NT
Zephaniah,3,53,1616,Zephaniah,Prophecy,OT
2_Timothy,4,83,1666,Paul,Letter,NT
Malachi,4,55,1781,Malachi,Prophecy,OT
1_Thessalonians,5,89,1837,Paul,Letter,NT
Colossians,4,95,1979,Paul,Letter,NT
Joel,3,73,2033,Joel,Prophecy,OT
Philippians,4,104,2183,Paul,Letter,NT
1_Timothy,6,113,2244,Paul,Letter,NT
James,5,108,2304,James,Letter,NT
1_Peter,5,105,2476,Peter,Letter,NT
1_John,5,105,2517,John,Letter,NT
Ruth,4,85,2574,Unknown,History,OT
Song of Solomon,8,117,2658,Solomon,Poetry,OT
Ephesians,6,155,3022,Paul,Letter,NT
Galatians,6,149,3084,Paul,Letter,NT
Micah,7,105,3152,Micah,Prophecy,OT
Lamentations,5,154,3411,Jeremiah,Poetry,OT
Amos,9,146,4216,Amos,Prophecy,OT
Hosea,14,197,5174,Hosea,Prophecy,OT
Ecclesiastes,12,222,5579,Solomon,Poetry,OT
Esther,10,167,5633,Unknown,History,OT
2_Corinthians,13,257,6046,Paul,Letter,NT
Zechariah,14,211,6443,Zechariah,Prophecy,OT
Hebrews,13,303,6897,Unknown,Letter,NT
Ezra,10,280,7440,Ezra,History,OT
Romans,16,433,9422,Paul,Letter,NT
1_Corinthians,16,437,9462,Paul,Letter,NT
Nehemiah,13,406,10480,Nehemiah,History,OT
Daniel,12,357,11602,Daniel,Prophecy,OT
Revelation,22,404,11952,John,Prophecy,NT
Mark,16,678,14949,Mark,Gospel,NT
Proverbs,31,915,15038,Solomon,Poetry,OT
Job,42,1070,18098,Unknown,Poetry,OT
John,21,879,18658,John,Gospel,NT
Joshua,24,658,18854,Unknown,History,OT
Judges,21,618,18966,Unknown,History,OT
1_Chronicles,29,942,20365,Ezra,History,OT
2_Samuel,24,695,20600,Unknown,History,OT
Matthew,28,1071,23343,Matthew,Gospel,NT
2_Kings,25,719,23517,Unknown,History,OT
Acts,28,1007,24229,Luke,History,NT
1_Kings,22,816,24513,Unknown,History,OT
Leviticus,27,859,24541,Moses,Law,OT
1_Samuel,31,810,25048,Unknown,History,OT
Luke,24,1151,25640,Luke,Gospel,NT
2_Chronicles,36,822,26069,Ezra,History,OT
Deuteronomy,34,959,28352,Moses,Law,OT
Exodus,40,1213,32685,Moses,Law,OT
Numbers,36,1289,32896,Moses,Law,OT
Isaiah,66,1292,37036,Isaiah,Prophecy,OT
Genesis,50,1533,38262,Moses,Law,OT
Ezekiel,48,1273,39401,Ezekiel,Prophecy,OT
Jeremiah,52,1364,42654,Jeremiah,Prophecy,OT
Psalms,150,2461,42704,Various,Poetry,OT
